Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1600;2746;8634;8805;8558;6067;1385;51;76;375;186;276;299;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1700;4206;11491;10709;10727;7869;1632;46;137;635;212;254;369;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1800;3535;12155;17107;12726;7644;1534;63;129;647;188;202;395;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1900;3806;15935;15626;15033;9296;1800;53;104;543;218;235;413;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2000;4510;17863;18001;14504;9023;2334;54;104;519;239;326;464;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2100;5101;17723;19368;17834;10272;1872;50;110;573;251;345;584;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2200;5986;19481;19303;18322;11052;2150;56;182;981;323;342;592;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2300;6989;21204;21669;20908;12335;3390;55;136;689;280;301;495;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2400;6496;21247;20222;19582;11919;2385;51;107;609;266;306;468;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2500;6335;20959;20465;19767;11904;2235;50;109;605;264;318;465;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2600;6494;21800;21682;21597;13574;2589;50;110;653;342;300;552;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2700;7150;23890;23470;23704;14474;2739;55;122;659;294;319;507;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2800;7598;25157;25264;25002;15267;2953;52;118;687;301;334;557;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2900;8252;27164;27097;28353;18328;3617;61;211;1060;391;445;701;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3000;9354;30270;29896;29245;17559;3425;59;169;745;329;362;573;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3100;9378;32538;31699;31184;18476;3452;57;134;771;336;374;602;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3200;9967;33412;33209;33562;20138;3693;70;132;769;347;370;615;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3300;10488;37470;36277;44526;33306;6504;88;239;1272;439;673;1570;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3400;14598;43926;47373;50576;24602;4145;70;165;841;371;417;658;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3500;11849;42599;42727;43387;29034;5525;61;154;973;526;499;743;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3600;14013;50437;54569;56313;35762;5884;66;189;1001;449;514;1016;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3700;15796;58896;55747;49936;28473;5107;65;172;920;446;442;751;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3800;14505;48007;47643;48146;28099;5132;63;165;920;423;467;803;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3900;14731;51352;60780;60041;30794;6447;86;282;1167;507;596;1000;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;4000;21414;64906;62677;69606;38418;7428;75;200;1262;546;584;1049;;;;;;;;;;;;;;;;;;;;;;;;;;
